date,m3,m6,y1,y2,y3,y5,y7,y10
1/1/1982,12.92,13.9,14.32,14.57,14.64,14.65,14.67,14.59
2/1/1982,14.28,14.81,14.73,14.82,14.73,14.54,14.46,14.43
3/1/1982,13.31,13.83,13.95,14.19,14.13,13.98,13.93,13.86
4/1/1982,13.34,13.87,13.98,14.2,14.18,14,13.94,13.87
5/1/1982,12.71,13.13,13.34,13.78,13.77,13.75,13.74,13.62
6/1/1982,13.08,13.76,14.07,14.47,14.48,14.43,14.47,14.3
7/1/1982,11.86,12.8,13.24,13.8,14,14.07,14.07,13.95
8/1/1982,9,10.51,11.43,12.32,12.62,13,13.14,13.06
9/1/1982,8.19,9.83,10.85,11.78,12.03,12.25,12.36,12.34
10/1/1982,7.97,8.63,9.32,10.19,10.62,10.8,10.88,10.91
11/1/1982,8.35,8.8,9.16,9.8,9.98,10.38,10.53,10.55
12/1/1982,8.2,8.59,8.91,9.66,9.88,10.22,10.49,10.54
1/1/1983,8.12,8.33,8.62,9.33,9.64,10.03,10.36,10.46
2/1/1983,8.39,8.65,8.92,9.64,9.91,10.26,10.56,10.72
3/1/1983,8.66,8.86,9.04,9.66,9.84,10.08,10.31,10.51
4/1/1983,8.51,8.78,8.98,9.57,9.76,10.02,10.29,10.4
5/1/1983,8.5,8.7,8.9,9.49,9.66,10.03,10.3,10.38
6/1/1983,9.14,9.44,9.66,10.18,10.32,10.63,10.83,10.85
7/1/1983,9.45,9.85,10.2,10.69,10.9,11.21,11.35,11.38
8/1/1983,9.74,10.16,10.53,11.07,11.3,11.63,11.77,11.85
9/1/1983,9.36,9.73,10.16,10.79,11.07,11.43,11.61,11.65
10/1/1983,8.99,9.39,9.81,10.57,10.87,11.28,11.47,11.54
11/1/1983,9.11,9.48,9.94,10.66,10.96,11.41,11.61,11.69
12/1/1983,9.36,9.76,10.11,10.84,11.13,11.54,11.78,11.83
1/1/1984,9.26,9.56,9.9,10.64,10.93,11.37,11.58,11.67
2/1/1984,9.46,9.77,10.04,10.79,11.05,11.54,11.75,11.84
3/1/1984,9.89,10.27,10.59,11.31,11.59,12.02,12.25,12.32
4/1/1984,10.07,10.47,10.9,11.69,11.98,12.37,12.56,12.63
5/1/1984,10.22,11.02,11.66,12.47,12.75,13.17,13.34,13.41
6/1/1984,10.26,11.24,12.08,12.91,13.18,13.48,13.56,13.56
7/1/1984,10.53,11.27,12.03,12.88,13.08,13.27,13.35,13.36
8/1/1984,10.9,11.37,11.82,12.43,12.5,12.68,12.75,12.72
9/1/1984,10.8,11.19,11.58,12.2,12.34,12.53,12.6,12.52
10/1/1984,10.12,10.52,10.9,11.6,11.85,12.06,12.16,12.16
11/1/1984,8.92,9.34,9.82,10.65,10.9,11.33,11.49,11.57
